1,2012-10-12 05:30:00,123 Main Street,ab,ab,johndoe@example.com,John,1001,Doe,1234567890,ab,Active,TEMP0002,101,
2,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,1002,Dora,1234228890,ab,Active,TEMP0003,102,
3,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,1003,Dora,1234228890,ab,Active,TEMP0006,101,
4,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0007,1001,
7,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0010,1001,
8,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0011,1001,
9,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0012,1001,
10,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0013,1001,
11,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0014,1001,
12,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0015,1001,
13,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0016,1001,
14,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0017,1001,
15,2018-12-12 05:30:00,1 ft. Street,ab,ab,joh@example.com,Johnson,102,Dora,1234228890,ab,Active,TEMP0018,1001,
27,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",RHT,IN,vishalkumar88172@gmail.com,dipesh,1001,Mishra,9769474565,HR,Active,TEMP0030,101,
28,2000-01-01 05:30:00,123 Main St,city123,RHT,john.doe@example.com,John,1001,Doe,9769474565,state123,Active,TEMP0031,101,
29,2012-01-01 05:30:00,123 Main St,city3,"",john.doe@example.com,new,1001,mw,9769474543,state1,Active,TEMP0032,101,
30,2024-04-19 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",RHT,IN,vishalkumar88172@gmail.com,dinesh ,1001,dubey,9769474565,HR,Active,TEMP0033,101,
31,2024-04-13 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel","",IN,vishalkumar88172@gmail.com,dinesh,1001,dubey,9769474565,HR,Active,TEMP0034,101,
32,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",RWR,IN,vishalkumar88172@gmail.com,dinesh,1001,dubey,9769474565,HR,Active,TEMP0035,101,
33,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",RWR,IN,vishalkumar88172@gmail.com,dinesh,1001,dubey,9769474565,HR,Active,TEMP0036,101,
34,2024-04-19 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",PNP,IN,vishalkumar88172@gmail.com,dinesh,1001,dubey,9769474565,HR,Active,TEMP0037,101,
35,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",PNP,IN,vishalkumar88172@gmail.com,dinesh,1001,dubey,9769474565,HR,Active,TEMP0038,101,
36,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",PNP,IN,vishalkumar88172@gmail.com,VishalKumar,1001,Mishra,9769474565,HR,Active,TEMP0039,101,
37,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",RHT,IN,vishalkumar88172@gmail.com,VishalKumar,1001,Mishra,9769474565,HR,Active,TEMP0040,101,
38,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel","",IN,vishalkumar88172@gmail.com,VishalKumar,1001,Mishra,9769474565,HR,Active,TEMP0041,101,
39,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",PNP,IN,vishalkumar88172@gmail.com,VishalKumar,1001,Mishra,9769474565,HR,Active,TEMP0042,101,
40,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",PNP,IN,vishalkumar88172@gmail.com,VishalKumar,1001,Mishra,9769474565,HR,Active,TEMP0043,101,
41,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",PNP,IN,vishalkumar88172@gmail.com,VishalKumar,1001,Mishra,9769474565,HR,Active,TEMP0044,101,
42,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",PNP,IN,vishalkumar88172@gmail.com,VishalKumar,1001,Mishra,9769474565,HR,Active,TEMP0045,101,
43,2024-04-20 05:30:00,"Varkund , Nani Daman, Engineering College Boys hostel",Q1815766,IN,vishalkumar88172@gmail.com,VishalKumar,1001,Mishra,9769474565,HR,Active,TEMP0046,101,396210
